"PlotID","insect_H0","insect_H1","insect_H2","insect_N","insect_pollinator_H0","insect_pollinator_H1","insect_pollinator_H2","insect_pollinator_N","insect_predator_H0","insect_predator_H1","insect_predator_H2","insect_predator_N"
21,69,14.8200308589798,5.48170481019597,400,9,7.83992587012419,7.07843137254902,19,20,17.3014491792238,14.2542372881356,29
22,51,15.6461375763241,6.57704007406428,223,9,7.07087225620105,5.58620689655172,18,7,6.72717132202972,6.4,8
23,56,14.8180791854577,5.43100189035917,221,7,6.17232737686821,5.53846153846154,12,16,15.4303916913553,14.7272727272727,18
24,89,27.421184935758,13.1840086439762,494,11,8.82514026324954,7,21,25,9.42867259429132,4.85378151260504,76
25,55,20.005767922159,8.72747252747253,209,9,6.18703941104567,4.34939759036145,19,11,10.6907846176841,10.2857142857143,12
26,81,33.8969802433416,16.5008918436841,319,16,11.9671759205186,9.4850136239782,59,15,14.6720646912747,14.2222222222222,16
27,77,14.7878830130551,5.29196337741607,510,9,8.01205443572904,7.36363636363637,18,24,23.3701253030841,22.5333333333333,26
28,62,11.8770477676115,4.84858144724259,390,8,7.57858283255199,7.14285714285714,10,23,21.0062598723789,17.7894736842105,26
29,69,18.5992057153928,8.45665961945032,400,12,9.69750380495624,8.06666666666666,22,18,16.6965970069584,15.125,22
30,61,29.0693359472431,14.2371740958789,184,11,10.0203636240206,8.90909090909091,14,9,8.12323966013147,7.2,12
31,65,19.2249524668216,8.21597770552717,266,10,8.32514890264246,7.04878048780488,17,14,12.4852247058239,10.9393939393939,19
32,84,25.6119818950362,10.320120537784,422,12,9.17744194102611,7.6972010178117,55,26,23.8814665774446,21.3333333333333,32
33,76,20.7412961689861,7.52707922743398,309,9,6.97217845939929,5.4054054054054,20,20,19.3950076099125,18.6153846153846,22
34,135,40.4664970429987,16.3903885950793,597,17,11.9270291311948,8,48,46,23.1484446128741,8.83507306889352,92
35,78,31.7291829433504,15.6925540432346,280,9,7.00017238902828,5.12121212121212,13,28,19.3686547903756,11.8421052631579,45
36,104,33.9677431438025,15.0318421052632,478,13,10.2903182236784,9.05797101449275,50,37,24.9204748831489,13.3333333333333,60
37,67,30.9489921898708,17.6177606177606,234,8,6.8559794971307,5.82758620689655,13,20,9.41144155418015,4.59558823529412,50
38,60,27.3823620362907,14.1877777777778,226,9,8.2200585608369,7.53846153846154,14,11,9.6059841591493,8.25714285714286,17
39,60,25.7001067922435,11.9475561897966,183,12,9.72281054210064,7.68085106382979,19,15,13.7769413242034,12.5,20
40,49,22.4144203113868,11.2640226628895,141,9,8.48528137423857,8,12,13,12.4685684421418,11.8421052631579,15
41,101,27.0584069927893,11.9654114840688,530,14,11.4774304115173,9.97938144329897,44,37,20.4316309679773,10.6536964980545,74
42,61,27.8216687811702,14.4780039395929,210,9,7.74260762017654,6.73684210526316,16,17,8.79234911909098,5.09826589595376,42
43,99,28.0248307995604,13.292029470864,630,14,5.47104297650714,3.0251949610078,123,30,25.6676765414136,19.5135135135135,38
44,54,25.4699124831791,12.8489968321014,156,6,5.74234749205346,5.44444444444444,7,19,16.0323063879424,13.2352941176471,30
45,79,31.9712792545992,12.7289566236811,233,8,7.18680696650756,6.36842105263158,11,30,24.1323517059634,17.0212765957447,40
46,52,17.6000928663986,8.81905203026092,239,8,6.92820323027551,6,12,14,12.9073105494431,11.56,17
47,71,23.1061387909702,10.844277673546,340,12,10.4221461677094,8.75757575757576,17,21,20.6564800345575,20.1666666666666,22
48,60,25.5177100227375,13.6122750801085,235,6,4.66601703852399,3.66666666666667,11,17,10.1452384834465,6.09452736318408,35
49,106,29.3980213578696,11.212294412691,537,13,10.1751761308588,8.56643356643357,35,37,19.7727657304252,10.3593984962406,83
50,75,22.9486627220442,10.3470077764003,303,6,5.34941802342378,4.76470588235294,9,27,25.6649523849438,23.6842105263158,30
51,71,34.7936207581767,18.4750235626767,198,11,9.3249581462972,8.02222222222222,19,19,18.2105721574658,17.2857142857143,22
52,91,21.2025340911405,7.73464173731274,447,16,11.7259498707646,9.29032258064517,48,35,24.1690301739185,13.6261682242991,54
53,65,24.5266198783578,11.6516276413478,202,6,5.45069178784675,5,10,25,24.3650175066192,23.5161290322581,27
54,58,23.3168659896669,9.96979232221523,178,8,5.88039511262337,4.41176470588235,15,13,10.5893550097525,7.81081081081081,17
55,68,19.5867793416285,8.81191806331471,364,15,11.4494076360654,9.09278350515464,42,16,15.2648133047708,14.44,19
56,70,20.0616909336406,7.57333555815117,369,9,6.73998168988747,5.56488549618321,27,21,19.0870926793302,16.953488372093,27
