"PlotID","soil_fauna_H0","soil_fauna_H1","soil_fauna_H2","soil_predator_H0","soil_predator_H1","soil_predator_H2","soil_predator_N","soil_decomp_H0","soil_decomp_H1","soil_decomp_H2","soil_decomp_N","soil_herbi_H0","soil_herbi_H1","soil_herbi_H2","soil_herbi_N","soil_fauna_N"
23,13,4.40574157339372,3.20379146919431,5,2.48528271155266,1.88903833221251,53,6,3.09331058365653,2.55056448598131,413,2,2,2,2,468
24,18,5.79482097447759,4.14296466773778,7,2.46669397702572,1.67759036144578,118,8,3.48981964973376,2.77954025636385,411,3,2.74945927399721,2.57142857142857,6,535
25,16,6.43455257871858,4.11559071191631,7,4.81016529767343,3.650623885918,64,8,3.24914890169199,2.45454545454545,189,1,1,1,1,254
26,16,8.15065970481286,6.08182686443506,6,3.70300913800938,2.85269412005737,236,7,4.08663508050029,3.28412738701345,469,3,1.44433567793667,1.20398009950249,22,727
27,21,7.62358396230643,5.07714118408482,8,4.75246444384666,3.53476717477553,184,10,3.47415440814008,2.65274788867389,383,3,2.7298385631036,2.57894736842105,7,574
28,16,4.99200332030836,3.15969194622112,7,5.26374721140003,4.08480565371025,68,7,2.87264038834257,2.30460021470319,417,2,1.97962633005252,1.96,7,492
29,18,5.86078785222249,3.37483521312436,7,4.61187852048375,3.32932072226999,88,9,3.01479752821953,2.160967599702,377,2,1.48093621757944,1.30057803468208,15,480
30,15,6.78228618706743,5.04939024390244,7,3.60338709012569,2.77186311787072,81,7,3.02847012387703,2.33969921222249,99,1,1,1,2,182
31,19,5.29423856317246,3.23656056166914,8,1.88821595247855,1.34793150178637,523,9,4.35934295671503,3.31746275533712,360,2,2,2,2,885
32,16,4.22447599375386,2.61924707412612,7,3.86219572364896,2.76442658875091,174,7,2.31792505477587,1.77672813405009,759,2,1.75476535060332,1.6,4,937
33,15,5.47620478692109,4.10094564019261,4,2.33612046324603,1.75974403723095,110,9,3.18219539554266,2.52558341788665,264,2,2,2,2,376
34,15,5.92022773074186,4.0399785616452,6,3.95901973803629,3.0666358167515,141,8,3.17968359002472,2.54823714206873,490,1,1,1,7,638
35,14,5.93398760936708,4.2088601972223,4,1.71094885205412,1.39017253556654,166,8,4.03085876740013,2.93680725493018,202,2,1.69843323402318,1.52830188679245,9,377
36,19,8.44237242577659,6.38904426656379,9,4.75256922914832,3.29913517355764,236,7,4.18994315526075,3.60474691208525,488,3,2.82842712474619,2.66666666666667,4,728
37,11,6.36221373995716,4.63961813842482,4,3.31783545896297,2.88888888888889,26,5,3.12421337019729,2.61997348652232,77,2,1.64938488846612,1.47058823529412,5,108
38,20,7.41161573369616,5.03652484076433,6,5.00453334819635,4.44054803457837,165,10,3.61930074454583,2.97576126807298,523,4,3.35535589631938,3,15,703
39,17,6.45695790797825,4.89171730525114,9,3.14438798417997,2.20576165688948,283,7,3.47126093943147,2.82504157070118,523,1,1,1,1,807
40,18,6.36572090074411,4.49432197728791,9,3.51744633775272,2.34267379679144,148,8,3.29310679128045,2.57372967084274,315,1,1,1,1,464
41,17,7.57693615867619,4.65284690145728,7,4.46333409351514,3.82403433476395,198,8,3.0004408155355,2.03392996108949,396,2,1.43650137573418,1.26200873362445,51,645
42,15,4.13972082115463,2.77715405391092,6,2.7619017777147,1.99224384269969,121,8,2.14525892257212,1.65580358452377,336,1,1,1,1,458
43,16,7.14484274261987,4.99980073065427,7,3.36764989441055,2.2102961389479,133,6,3.34976999612824,2.68002541642082,243,3,2.27950705695478,1.94594594594595,12,388
44,18,7.1571211469954,4.98627897974107,7,2.17198051811827,1.56871454044416,381,8,4.91111729997101,4.12934049995734,440,3,2.45502514409486,2.25333333333333,13,834
45,15,6.45598512565645,4.9188485932672,6,2.24910713769339,1.60474777448071,104,7,3.97027173649028,3.27517937815573,314,2,1.45756926498109,1.28,8,426
46,17,6.59775284189085,4.44761922200148,7,4.85354160413283,3.91889442682374,186,8,3.10316807637037,2.51160102057088,502,2,1.41741118113173,1.24615384615385,9,697
47,21,8.4481182856756,5.583701917771,8,5.35924340459092,4.48123681071658,221,11,4.14608025489815,3.13834358412672,579,2,1.79670174162689,1.65753424657534,11,811
48,15,5.15983971456725,3.58957858288996,7,3.66103732305392,2.71265907568654,90,7,2.8937702230656,2.39647349785599,367,1,1,1,4,461
49,16,7.44121136437046,5.57008175591073,7,2.92655574459234,1.98872604284104,84,6,4.13602806583522,3.45269461077844,186,3,2.87174588749259,2.77777777777778,5,275
50,10,2.72486738588495,1.90512395895031,6,2.38672768339333,1.71983385254413,91,3,1.3805555732505,1.19395992966514,305,1,1,1,1,397
51,21,7.82089615497021,5.13484290527305,8,3.39915296113908,2.42474879860201,298,10,4.51297453686818,3.05782831784773,210,3,2.82842712474619,2.66666666666667,4,512
52,18,6.50550884730835,4.41701378857518,8,4.07989326064329,2.89605268346544,271,8,3.18626694843573,2.48248442386482,640,2,1.88988157484231,1.8,6,917
53,14,4.56812216701699,2.9424398550025,5,3.11460681013811,2.39426703545386,138,6,2.26109958717342,1.76153439552971,432,3,2.55202792428089,2.31428571428571,9,579
54,14,5.77913587527945,4.2127331972643,4,1.72115350293757,1.36907434306087,144,8,4.09285131495743,3.03693559746459,197,2,2,2,2,343
55,19,4.97470162449688,3.33866970932249,8,2.7517574502756,1.86224586737602,198,9,2.81000360044422,2.11924088772963,614,2,1.88988157484231,1.8,3,815
56,16,5.21511188036515,3.02744933277314,8,4.99350571539766,3.66497461928934,76,7,2.76237110844676,1.99824391050142,311,1,1,1,2,389
