"","Palm.ID","Plot.ID","n_cut_r_12m","EF_12m_cut","long_sum_mean_per_area_cut"
"79",7079,26,3,68.5714285714286,20937.3257142857
"80",7080,26,2,85.7142857142857,19824.0510418286
"81",7081,26,0,120,18074.88
"82",7082,26,4,51.4285714285714,16308.8804583771
"83",7083,26,1,102.857142857143,26012.9828571429
"84",7084,26,1,102.857142857143,36199.1314285714
"85",7085,26,2,85.7142857142857,23299.2393744
"86",7086,26,0,120,17995.2
"87",7087,29,1,102.857142857143,42696.1867959771
"88",7088,29,2,85.7142857142857,16690.9714285714
"89",7089,29,1,102.857142857143,38086.6822115657
"90",7090,29,2,85.7142857142857,20482.6216614857
"91",7091,29,3,68.5714285714286,11530.28277888
"92",7092,29,1,102.857142857143,22808.9091978514
"93",7093,29,1,102.857142857143,11185.0971428571
"94",7094,29,2,85.7142857142857,17056.4571428571
"95",7095,29,1,102.857142857143,3030.58285714286
"96",7096,29,1,102.857142857143,19170.9257142857
"97",7097,29,2,85.7142857142857,13434.5142857143
"98",7098,29,2,85.7142857142857,7239.08571428571
"99",7099,29,2,85.7142857142857,21370.2857142857
"100",7100,29,2,85.7142857142857,17969.3441283429
"101",7101,29,2,85.7142857142857,7930.28571428571
"102",7102,29,3,68.5714285714286,19445.2114285714
"103",7103,29,2,85.7142857142857,15270.1714285714
"104",7104,29,2,85.7142857142857,9244.8
"105",7105,29,2,85.7142857142857,17016.6857142857
"106",7106,29,1,102.857142857143,15901.7142857143
"107",7107,30,2,85.7142857142857,6236.57142857143
"108",7108,30,2,85.7142857142857,14405.4857142857
"109",7109,32,1,102.857142857143,22807.9542857143
"110",7110,33,2,85.7142857142857,13383.7714285714
"111",7111,33,3,68.5714285714286,12720.83895744
"112",7112,33,2,85.7142857142857,12104.9142857143
"113",7113,33,2,85.7142857142857,17099.4269365714
"114",7114,34,1,102.857142857143,12144.1215818057
"115",7115,35,1,102.857142857143,28279.9542857143
"116",7116,35,1,102.857142857143,20804.2971428571
"117",7117,35,2,85.7142857142857,24460.8
"118",7118,35,3,68.5714285714286,21852.8883274971
"119",7119,35,3,68.5714285714286,15099.4285714286
"120",7120,35,2,85.7142857142857,16845.9428571429
"121",7121,35,1,102.857142857143,23758.78701312
"122",7122,35,2,85.7142857142857,15567.5984928
"123",7123,35,2,85.7142857142857,26283.4285714286
"124",7124,35,2,85.7142857142857,20837.2539936
"125",7125,35,1,102.857142857143,18076.0987477029
"126",7126,35,0,120,40193.27758656
"127",7127,35,1,102.857142857143,37369.2342857143
"128",7128,35,2,85.7142857142857,23078.4
"129",7129,35,1,102.857142857143,14795.9336098286
"130",7130,35,1,102.857142857143,10329.2894262857
"131",7131,35,1,102.857142857143,15869.4765613714
"132",7132,36,3,68.5714285714286,16963.7610333257
"133",7133,37,1,102.857142857143,10599.2228571429
"134",7134,38,2,85.7142857142857,16054.5645956571
"135",7135,38,3,68.5714285714286,19826.9503954286
"136",7136,38,2,85.7142857142857,21393.8280826286
"137",7137,43,1,102.857142857143,22184.6973584914
"138",7138,43,1,102.857142857143,14273.0571962057
"139",7139,43,1,102.857142857143,7216.45714285714
"140",7140,43,3,68.5714285714286,17694.72
"141",7141,43,3,68.5714285714286,22587.4377761829
"142",7142,43,3,68.5714285714286,13625.4171428571
"143",7143,43,3,68.5714285714286,10636.2045682286
"144",7144,43,2,85.7142857142857,17938.0258772571
"145",7145,43,5,34.2857142857143,6261.39428571429
"146",7146,43,3,68.5714285714286,32106.7885714286
"147",7147,43,1,102.857142857143,34539.4285714286
"148",7148,45,1,102.857142857143,24567.2228571429
"149",7149,45,2,85.7142857142857,8332.8
"150",7150,45,2,85.7142857142857,21700.8
"151",7151,45,1,102.857142857143,19624.97737152
"152",7152,45,3,68.5714285714286,9751.95428571429
"153",7153,45,1,102.857142857143,3928.32
"154",7154,45,2,85.7142857142857,13524.3428571429
"155",7155,45,1,102.857142857143,9042.37714285714
"156",7156,45,2,85.7142857142857,18927.0857142857
"157",7157,45,2,85.7142857142857,15131.6571428571
"158",7158,45,2,85.7142857142857,19939.8857142857
"159",7159,45,2,85.7142857142857,11421.1512500571
"160",7160,45,2,85.7142857142857,11506.6367958857
"161",7161,45,2,85.7142857142857,12139.2
"162",7162,46,1,102.857142857143,13889.8285714286
"163",7163,46,1,102.857142857143,14362.3823134629
"164",7164,46,0,120,30896.64
"165",7165,46,3,68.5714285714286,14464.7314285714
"166",7166,46,1,102.857142857143,15737.9768808686
"167",7167,46,3,68.5714285714286,12176.3788618971
"168",7168,46,1,102.857142857143,21574.5469640229
"169",7169,46,3,68.5714285714286,8195.10857142857
"170",7170,46,2,85.7142857142857,16796.9091092571
"171",7171,46,2,85.7142857142857,20647.5428571429
"172",7172,46,1,102.857142857143,27276.0685714286
"173",7173,46,1,102.857142857143,6374.67428571429
"174",7174,46,2,85.7142857142857,21022.6285714286
"175",7175,46,2,85.7142857142857,4980.34285714286
"176",7176,46,2,85.7142857142857,5645.21484788571
"177",7177,46,2,85.7142857142857,25985.1428571429
"178",7178,46,2,85.7142857142857,14390.4
"179",7179,47,1,102.857142857143,12486.8571428571
"180",7180,47,2,85.7142857142857,17449.0285714286
"181",7181,47,1,102.857142857143,22976.6005802057
"182",7182,47,1,102.857142857143,25875.5657142857
"183",7183,47,2,85.7142857142857,15252.3428571429
"184",7184,49,2,85.7142857142857,17652.0508083429
"185",7185,49,1,102.857142857143,24070.9681551086
"186",7186,49,1,102.857142857143,11782.4914285714
"187",7187,49,2,85.7142857142857,6496.45714285714
"188",7188,49,2,85.7142857142857,14524.8
"189",7189,49,2,85.7142857142857,13082.6347830857
"190",7190,49,1,102.857142857143,22919.8628571429
"191",7191,49,2,85.7142857142857,19540.4489376
"192",7192,49,2,85.7142857142857,10941.2571428571
"193",7193,49,3,68.5714285714286,5492.29714285714
"194",7194,49,2,85.7142857142857,4610.74285714286
"195",7195,49,2,85.7142857142857,13377.6
"196",7196,49,2,85.7142857142857,17101.0285714286
"197",7197,49,2,85.7142857142857,7384.45714285714
"198",7198,49,2,85.7142857142857,18622.6285714286
"199",7199,51,0,120,21654.72
"200",7200,51,2,85.7142857142857,22304.8211365714
"201",7201,51,1,102.857142857143,19459.1192478171
"202",7202,52,2,85.7142857142857,16592.2285714286
"203",7203,52,2,85.7142857142857,31760.2285714286
"204",7204,52,2,85.7142857142857,27338.9503954286
"205",7205,52,3,68.5714285714286,13011.47201664
"206",7206,52,3,68.5714285714286,14605.95450816
"207",7207,52,2,85.7142857142857,14334.8571428571
"208",7208,52,3,68.5714285714286,4915.74857142857
"209",7209,52,3,68.5714285714286,13629.8057142857
"210",7210,52,2,85.7142857142857,24366.1714285714
"211",7211,52,2,85.7142857142857,11663.3142857143
"212",7212,52,1,102.857142857143,15650.7428571429
"213",7213,52,1,102.857142857143,21535.8171428571
"214",7214,52,2,85.7142857142857,24547.2
